Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Overall Efficiency
2163.0,1023.15,6.0,187.5,0.055,0.4,3.141883542030565
2162.0,1023.15,6.0,187.5,0.055,0.3,3.141883461854237
2161.0,1023.15,6.0,187.5,0.055,0.2,3.141883237682412
2160.0,1023.15,6.0,187.5,0.055,0.1,3.1418823208190814
2159.0,1023.15,6.0,187.5,0.0325,0.5,3.141873242531976
2213.0,1023.15,6.0,262.5,0.055,0.4,3.129704076121645
2212.0,1023.15,6.0,262.5,0.055,0.3,3.1297038283122585
2211.0,1023.15,6.0,262.5,0.055,0.2,3.129703134412458
2210.0,1023.15,6.0,262.5,0.055,0.1,3.129700292065605
2209.0,1023.15,6.0,262.5,0.0325,0.5,3.129672104308935
1207.0,923.15,10.0,262.5,0.0325,0.3,3.1295202368811506
1206.0,923.15,10.0,262.5,0.0325,0.2,3.1295194966555906
1205.0,923.15,10.0,262.5,0.0325,0.1,3.1295174295074384
2173.0,1023.15,6.0,187.5,0.1,0.4,3.128372082825859
2172.0,1023.15,6.0,187.5,0.1,0.3,3.128371894749819
2171.0,1023.15,6.0,187.5,0.1,0.2,3.1283713687111785
2170.0,1023.15,6.0,187.5,0.1,0.1,3.1283692164519032
2169.0,1023.15,6.0,187.5,0.0775,0.5,3.128347898010752
2149.0,1023.15,6.0,150.0,0.1,0.5,3.11029225444422
2158.0,1023.15,6.0,187.5,0.0325,0.4,3.1081418765227875
2157.0,1023.15,6.0,187.5,0.0325,0.3,3.1081417627020715
2156.0,1023.15,6.0,187.5,0.0325,0.2,3.108141444557388
2155.0,1023.15,6.0,187.5,0.0325,0.1,3.1081401437443072
2233.0,1023.15,6.0,300.0,0.0325,0.4,3.099491814118907
2232.0,1023.15,6.0,300.0,0.0325,0.3,3.0994915108685346
2231.0,1023.15,6.0,300.0,0.0325,0.2,3.099490661424713
2230.0,1023.15,6.0,300.0,0.0325,0.1,3.099487180682251
2048.0,1023.15,4.0,187.5,0.1,0.4,3.095816163787587
2047.0,1023.15,4.0,187.5,0.1,0.3,3.0958145229943894
2046.0,1023.15,4.0,187.5,0.1,0.2,3.0958099402899464
2045.0,1023.15,4.0,187.5,0.1,0.1,3.0957912171674
2044.0,1023.15,4.0,187.5,0.0775,0.5,3.095606021013546
749.0,923.15,2.0,300.0,0.1,0.5,3.0790435803393934
748.0,923.15,2.0,300.0,0.1,0.4,3.078923393818304
2193.0,1023.15,6.0,225.0,0.0775,0.4,3.0787199103654728
2192.0,1023.15,6.0,225.0,0.0775,0.3,3.078719656766638
2191.0,1023.15,6.0,225.0,0.0775,0.2,3.078718946992308
2190.0,1023.15,6.0,225.0,0.0775,0.1,3.078716041022322
2189.0,1023.15,6.0,225.0,0.055,0.5,3.078687236674234
2188.0,1023.15,6.0,225.0,0.055,0.4,3.07577924366485
2187.0,1023.15,6.0,225.0,0.055,0.3,3.075778663301165
2186.0,1023.15,6.0,225.0,0.055,0.2,3.0757770394270563
2185.0,1023.15,6.0,225.0,0.055,0.1,3.075770392786884
2184.0,1023.15,6.0,225.0,0.0325,0.5,3.0757045286481324
1574.0,973.15,6.0,225.0,0.1,0.5,3.061982946299972
1573.0,973.15,6.0,225.0,0.1,0.4,3.061977153994092
1572.0,973.15,6.0,225.0,0.1,0.3,3.061953489244982
1571.0,973.15,6.0,225.0,0.1,0.2,3.061719410663077
1695.0,973.15,8.0,225.0,0.1,0.1,3.052892889038133
1694.0,973.15,8.0,225.0,0.0775,0.5,3.0528922767482163
1693.0,973.15,8.0,225.0,0.0775,0.4,3.052890564824567
1692.0,973.15,8.0,225.0,0.0775,0.3,3.052883563062
1691.0,973.15,8.0,225.0,0.0775,0.2,3.0528142332267665
