Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
236.0,873.15,4.0,300.0,0.05500000000000001,0.2,0.9480000000000007,1.3335881777323362,0.18943525857061125,8.000655242603916
237.0,873.15,4.0,300.0,0.05500000000000001,0.30000000000000004,0.9320000000000007,1.3335827293590075,0.1894430407216933,8.000641235528235
238.0,873.15,4.0,300.0,0.05500000000000001,0.4,0.9280000000000007,1.33358138186895,0.18941179883009873,8.000637771292324
239.0,873.15,4.0,300.0,0.05500000000000001,0.5,0.9270000000000007,1.3335810282713167,0.18946021021298967,8.00063686223444
240.0,873.15,4.0,300.0,0.0775,0.1,0.8480000000000006,1.3335719768581262,0.13440166282167262,8.000613592022459
241.0,873.15,4.0,300.0,0.0775,0.2,0.7160000000000005,1.3335255818195169,0.13449056914607588,8.000494312522644
242.0,873.15,4.0,300.0,0.0775,0.30000000000000004,0.7060000000000005,1.3335221808813222,0.13446634001883562,8.000485568681286
243.0,873.15,4.0,300.0,0.0775,0.4,0.7040000000000005,1.3335214860873006,0.1345116333063217,8.000483782356696
244.0,873.15,4.0,300.0,0.0775,0.5,0.7030000000000005,1.3335211542352838,0.13448746589081656,8.000482929160306
245.0,873.15,4.0,300.0,0.1,0.1,0.7010000000000005,1.333530312794856,0.1041833241352709,8.00050647585885
246.0,873.15,4.0,300.0,0.1,0.2,0.6040000000000004,1.3334961745897589,0.10421522685978436,8.000418705438396
247.0,873.15,4.0,300.0,0.1,0.30000000000000004,0.5970000000000004,1.33349375409401,0.10427496453002037,8.000412482168654
248.0,873.15,4.0,300.0,0.1,0.4,0.5950000000000004,1.3334930806580654,0.10424648221744673,8.000410750713819
249.0,873.15,4.0,300.0,0.1,0.5,0.5940000000000004,1.3334927561233825,0.10419883557306117,8.000409916310106
255.0,873.15,6.0,150.0,0.0325,0.1,0.5790000000000004,1.3337281716785057,0.6412495663874509,8.00101512682573
256.0,873.15,6.0,150.0,0.0325,0.2,0.5720000000000004,1.3337224071740459,0.6409771813529489,8.00100030879297
257.0,873.15,6.0,150.0,0.0325,0.30000000000000004,0.5720000000000004,1.333722383199443,0.6412483763311261,8.001000247164555
258.0,873.15,6.0,150.0,0.0325,0.4,0.5720000000000004,1.3337223773431293,0.6413147395597603,8.001000232110485
259.0,873.15,6.0,150.0,0.0325,0.5,0.5720000000000004,1.3337223752479668,0.6413384995182739,8.001000226724702
260.0,873.15,6.0,150.0,0.05500000000000001,0.1,0.2790000000000002,1.3335129704907218,0.37882833624638623,8.000461888559428
261.0,873.15,6.0,150.0,0.05500000000000001,0.2,0.2780000000000002,1.3335121353010428,0.3792311573481156,8.000459741258705
262.0,873.15,6.0,150.0,0.05500000000000001,0.30000000000000004,0.2780000000000002,1.3335121259045137,0.3793407110332316,8.000459717099906
263.0,873.15,6.0,150.0,0.05500000000000001,0.4,0.2780000000000002,1.3335121236072096,0.37936751346964315,8.000459711193459
264.0,873.15,6.0,150.0,0.05500000000000001,0.5,0.2780000000000002,1.3335121227852431,0.379377105673452,8.00045970908013
265.0,873.15,6.0,150.0,0.0775,0.1,0.20100000000000015,1.333461495472624,0.2694836199492443,8.000329541686133
266.0,873.15,6.0,150.0,0.0775,0.2,0.20000000000000015,1.3334607048933271,0.26939768259113384,8.000327508990546
267.0,873.15,6.0,150.0,0.0775,0.30000000000000004,0.20000000000000015,1.3334606991841422,0.2694620412440616,8.0003274943114
268.0,873.15,6.0,150.0,0.0775,0.4,0.20000000000000015,1.3334606977885453,0.26947778146756546,8.000327490723139
269.0,873.15,6.0,150.0,0.0775,0.5,0.20000000000000015,1.333460697289343,0.2694834127097228,8.000327489439561
270.0,873.15,6.0,150.0,0.1,0.1,0.16600000000000012,1.3334392779340005,0.20896185429693734,8.000272416604117
271.0,873.15,6.0,150.0,0.1,0.2,0.16500000000000012,1.333438500590847,0.20870977847115443,8.00027041790257
272.0,873.15,6.0,150.0,0.1,0.30000000000000004,0.16500000000000012,1.3334384962825137,0.20875503727310693,8.000270406824962
273.0,873.15,6.0,150.0,0.1,0.4,0.16500000000000012,1.3334384952295941,0.20876610294376927,8.000270404117737
274.0,873.15,6.0,150.0,0.1,0.5,0.16500000000000012,1.3334384948530669,0.2087700606283324,8.000270403149601
280.0,873.15,6.0,187.5,0.0325,0.1,0.43400000000000033,1.3335522532948003,0.5132981375100598,8.000562884232371
281.0,873.15,6.0,187.5,0.0325,0.2,0.4280000000000003,1.3335485336617483,0.5129846387602404,8.000553321240957
282.0,873.15,6.0,187.5,0.0325,0.30000000000000004,0.4280000000000003,1.3335485093910247,0.5132959902087034,8.000553258842041
283.0,873.15,6.0,187.5,0.0325,0.4,0.4270000000000003,1.3335479258479197,0.5127918756736095,8.00055175857898
284.0,873.15,6.0,187.5,0.0325,0.5,0.4270000000000003,1.3335479237370675,0.5128190250446466,8.000551753152061
285.0,873.15,6.0,187.5,0.05500000000000001,0.1,0.23200000000000018,1.3334459625253483,0.3036457834850988,8.00028960394323
286.0,873.15,6.0,187.5,0.05500000000000001,0.2,0.23000000000000018,1.3334447596273853,0.3034016809551943,8.00028651107409
287.0,873.15,6.0,187.5,0.05500000000000001,0.30000000000000004,0.23000000000000018,1.333444750014303,0.3035284280516505,8.000286486357039
288.0,873.15,6.0,187.5,0.05500000000000001,0.4,0.23000000000000018,1.3334447476665579,0.30355940635322515,8.000286480320558
289.0,873.15,6.0,187.5,0.05500000000000001,0.5,0.23000000000000018,1.3334447468273585,0.3035704820537191,8.000286478162803
290.0,873.15,6.0,187.5,0.0775,0.1,0.17000000000000012,1.3334153232025778,0.21512328108879378,8.000210823684325
291.0,873.15,6.0,187.5,0.0775,0.2,0.16900000000000012,1.3334147150589761,0.21509727903266768,8.000209259995964
292.0,873.15,6.0,187.5,0.0775,0.30000000000000004,0.16900000000000012,1.3334147091059854,0.21517189345137644,8.000209244689346
293.0,873.15,6.0,187.5,0.0775,0.4,0.16900000000000012,1.3334147076522576,0.21519012523333103,8.000209240951435
294.0,873.15,6.0,187.5,0.0775,0.5,0.16900000000000012,1.3334147071327351,0.21519664188054527,8.000209239615595
295.0,873.15,6.0,187.5,0.1,0.1,0.1420000000000001,1.3334020042410235,0.16693739574685917,8.000176577137303
296.0,873.15,6.0,187.5,0.1,0.2,0.1410000000000001,1.333401408798259,0.1667319600889174,8.000175046088533
297.0,873.15,6.0,187.5,0.1,0.30000000000000004,0.1410000000000001,1.3334014042370546,0.16678468114549683,8.000175034360396
298.0,873.15,6.0,187.5,0.1,0.4,0.1410000000000001,1.333401403123391,0.16679756030098122,8.00017503149683
299.0,873.15,6.0,187.5,0.1,0.5,0.1410000000000001,1.3334014027254837,0.16680216264654898,8.000175030473747
305.0,873.15,6.0,225.0,0.0325,0.1,0.36700000000000027,1.3334801041762385,0.4274820324716762,8.00037738700059
306.0,873.15,6.0,225.0,0.0325,0.2,0.36200000000000027,1.3334775758083994,0.427833731067794,8.000370886294073
307.0,873.15,6.0,225.0,0.0325,0.30000000000000004,0.36100000000000027,1.3334770972267715,0.4275361276655293,8.00036965580748
308.0,873.15,6.0,225.0,0.0325,0.4,0.36100000000000027,1.3334770911517548,0.42762287053083725,8.00036964018794
309.0,873.15,6.0,225.0,0.0325,0.5,0.36100000000000027,1.3334770889816203,0.42765387109828673,8.000369634608294
310.0,873.15,6.0,225.0,0.05500000000000001,0.1,0.20600000000000016,1.3334134038501042,0.2528595493081144,8.000205888549253
311.0,873.15,6.0,225.0,0.05500000000000001,0.2,0.20400000000000015,1.3334124246230086,0.25276664516088837,8.000203370708508
312.0,873.15,6.0,225.0,0.05500000000000001,0.30000000000000004,0.20400000000000015,1.3334124144690653,0.25291215997411837,8.000203344600127
313.0,873.15,6.0,225.0,0.05500000000000001,0.4,0.20400000000000015,1.3334124119911954,0.2529477027104602,8.00020333822892
314.0,873.15,6.0,225.0,0.05500000000000001,0.5,0.20400000000000015,1.3334124111060872,0.2529604020425541,8.000203335953064
315.0,873.15,6.0,225.0,0.0775,0.1,0.1540000000000001,1.3333930046086488,0.1798683391100674,8.000153436498358
316.0,873.15,6.0,225.0,0.0775,0.2,0.1530000000000001,1.3333925036608343,0.17996696522663982,8.0001521484125
317.0,873.15,6.0,225.0,0.0775,0.30000000000000004,0.1520000000000001,1.3333920618693447,0.17928052548541934,8.00015101243457
318.0,873.15,6.0,225.0,0.0775,0.4,0.1520000000000001,1.3333920603117757,0.1793015165609843,8.000151008429613
319.0,873.15,6.0,225.0,0.0775,0.5,0.1520000000000001,1.3333920597554998,0.17930901492373383,8.000151006999229
320.0,873.15,6.0,225.0,0.1,0.1,0.1290000000000001,1.3333834832278701,0.139325452467268,8.000128954100118
321.0,873.15,6.0,225.0,0.1,0.2,0.12800000000000009,1.333382996206496,0.13921313792048393,8.000127701812989
322.0,873.15,6.0,225.0,0.1,0.30000000000000004,0.12800000000000009,1.3333829912493484,0.13927427943039924,8.00012768906659
323.0,873.15,6.0,225.0,0.1,0.4,0.12800000000000009,1.3333829900398453,0.13928920732693575,8.000127685956517
324.0,873.15,6.0,225.0,0.1,0.5,0.12800000000000009,1.3333829896079545,0.13929453876496656,8.000127684846017
330.0,873.15,6.0,262.5,0.0325,0.1,0.33000000000000024,1.3334426651506412,0.36682242014883526,8.00028112578621
331.0,873.15,6.0,262.5,0.0325,0.2,0.32400000000000023,1.3334401563823814,0.36684739267692046,8.000274675265421
332.0,873.15,6.0,262.5,0.0325,0.30000000000000004,0.32300000000000023,1.3334397581839295,0.3665650901270871,8.000273651420114
333.0,873.15,6.0,262.5,0.0325,0.4,0.32300000000000023,1.3334397518205838,0.36666320520398343,8.000273635058706
334.0,873.15,6.0,262.5,0.0325,0.5,0.32300000000000023,1.3334397495486894,0.36669825262885936,8.000273629217242
335.0,873.15,6.0,262.5,0.05500000000000001,0.1,0.19000000000000014,1.333394860144203,0.21660919599546874,8.00015820762762
336.0,873.15,6.0,262.5,0.05500000000000001,0.2,0.18800000000000014,1.3333940262805644,0.21673157037214466,8.000156063519189
337.0,873.15,6.0,262.5,0.05500000000000001,0.30000000000000004,0.18800000000000014,1.3333940154028745,0.2168969140025162,8.00015603554943
338.0,873.15,6.0,262.5,0.05500000000000001,0.4,0.18800000000000014,1.3333940127500754,0.21693728259757633,8.000156028728302
339.0,873.15,6.0,262.5,0.05500000000000001,0.5,0.18800000000000014,1.3333940118029648,0.21695169956292318,8.000156026293036
340.0,873.15,6.0,262.5,0.0775,0.1,0.1430000000000001,1.3333795631424428,0.15392031875607867,8.000118874296756
341.0,873.15,6.0,262.5,0.0775,0.2,0.1420000000000001,1.333379132595166,0.1541555673151953,8.000117767218857
342.0,873.15,6.0,262.5,0.0775,0.30000000000000004,0.1420000000000001,1.3333791256343364,0.15425412743213854,8.000117749320294
343.0,873.15,6.0,262.5,0.0775,0.4,0.1420000000000001,1.33337912393673,0.15427818624507483,8.000117744955176
344.0,873.15,6.0,262.5,0.0775,0.5,0.1420000000000001,1.3333791233307277,0.15428677677459815,8.000117743396991
345.0,873.15,6.0,262.5,0.1,0.1,0.12000000000000009,1.3333722744304963,0.1190568446996948,8.000100132578702
346.0,873.15,6.0,262.5,0.1,0.2,0.11900000000000009,1.3333718590479904,0.11904772334706011,8.00009906448772
347.0,873.15,6.0,262.5,0.1,0.30000000000000004,0.11900000000000009,1.3333718536942378,0.11911700225353172,8.000099050721426
348.0,873.15,6.0,262.5,0.1,0.4,0.11900000000000009,1.3333718523886686,0.119133910521373,8.00009904736439
349.0,873.15,6.0,262.5,0.1,0.5,0.11900000000000009,1.3333718519226774,0.11913994682333878,8.000099046166113
355.0,873.15,6.0,300.0,0.0325,0.1,0.3060000000000002,1.3334198477843577,0.3209611775110937,8.000222457483034
356.0,873.15,6.0,300.0,0.0325,0.2,0.2990000000000002,1.3334173504090523,0.3207749098753492,8.000216036130091
357.0,873.15,6.0,300.0,0.0325,0.30000000000000004,0.2980000000000002,1.3334170082977146,0.32053184563698056,8.000215156478474
358.0,873.15,6.0,300.0,0.0325,0.4,0.2980000000000002,1.3334170015854891,0.3206414742101056,8.000215139219693
359.0,873.15,6.0,300.0,0.0325,0.5,0.2980000000000002,1.3334169991900933,0.320680620136293,8.000215133060545
360.0,873.15,6.0,300.0,0.05500000000000001,0.1,0.18000000000000013,1.3333832929331348,0.18996381370887985,8.000128464791741
361.0,873.15,6.0,300.0,0.05500000000000001,0.2,0.17700000000000013,1.3333822509216242,0.18959742623830633,8.00012578544711
362.0,873.15,6.0,300.0,0.05500000000000001,0.30000000000000004,0.17700000000000013,1.3333822392418426,0.18978291434549133,8.000125755414672
363.0,873.15,6.0,300.0,0.05500000000000001,0.4,0.17700000000000013,1.3333822363949677,0.18982818762220363,8.000125748094439
364.0,873.15,6.0,300.0,0.05500000000000001,0.5,0.17700000000000013,1.3333822353789726,0.1898443507368102,8.000125745481986
365.0,873.15,6.0,300.0,0.0775,0.1,0.1360000000000001,1.3333710537521948,0.13483473256164868,8.000096993794811
366.0,873.15,6.0,300.0,0.0775,0.2,0.1340000000000001,1.3333703645033548,0.13450038264046216,8.000095221497409
367.0,873.15,6.0,300.0,0.0775,0.30000000000000004,0.1340000000000001,1.333370357027574,0.13461045955727236,8.000095202274588
368.0,873.15,6.0,300.0,0.0775,0.4,0.1340000000000001,1.3333703552052567,0.13463732204995577,8.000095197588731
369.0,873.15,6.0,300.0,0.0775,0.5,0.1340000000000001,1.3333703545549733,0.1346469106416132,8.000095195916645
370.0,873.15,6.0,300.0,0.1,0.1,0.11500000000000009,1.3333653838153958,0.10467475102246364,8.000082414393257
371.0,873.15,6.0,300.0,0.1,0.2,0.11400000000000009,1.333365016330822,0.10479407721245763,8.000081469458735
372.0,873.15,6.0,300.0,0.1,0.30000000000000004,0.11300000000000009,1.3333647032860059,0.10419573105914495,8.000080664508175
373.0,873.15,6.0,300.0,0.1,0.4,0.11300000000000009,1.3333647018711738,0.10421472008103254,8.000080660870095
374.0,873.15,6.0,300.0,0.1,0.5,0.11300000000000009,1.3333647013663597,0.10422149721431945,8.000080659572019
380.0,873.15,8.0,150.0,0.0325,0.1,0.17800000000000013,1.333456776226961,0.6418716147138023,8.000317407791448
381.0,873.15,8.0,150.0,0.0325,0.2,0.17800000000000013,1.3334567620562199,0.6423391884145516,8.000317371356246
382.0,873.15,8.0,150.0,0.0325,0.30000000000000004,0.17800000000000013,1.3334567606274736,0.6423864485451808,8.000317367682712
383.0,873.15,8.0,150.0,0.0325,0.4,0.17700000000000013,1.3334559553210563,0.6410077514636835,8.000315297113135
384.0,873.15,8.0,150.0,0.0325,0.5,0.17700000000000013,1.3334559551968126,0.6410118720084813,8.000315296793692
385.0,873.15,8.0,150.0,0.05500000000000001,0.1,0.08600000000000006,1.3333896240671175,0.3789914928334674,8.000144744109264
386.0,873.15,8.0,150.0,0.05500000000000001,0.2,0.08600000000000006,1.333389618707647,0.37917913497651434,8.000144730328433
387.0,873.15,8.0,150.0,0.05500000000000001,0.30000000000000004,0.08600000000000006,1.3333896181665477,0.3791980983303977,8.000144728937098
388.0,873.15,8.0,150.0,0.05500000000000001,0.4,0.08600000000000006,1.3333896180341875,0.3792027380340507,8.000144728596771
389.0,873.15,8.0,150.0,0.05500000000000001,0.5,0.08600000000000006,1.3333896179868228,0.3792043986030456,8.00014472847499
390.0,873.15,8.0,150.0,0.0775,0.1,0.06200000000000005,1.3333735120717887,0.2696483683666262,8.000103314976993
391.0,873.15,8.0,150.0,0.0775,0.2,0.06200000000000005,1.333373508811834,0.2697588551233203,8.000103306594527
392.0,873.15,8.0,150.0,0.0775,0.30000000000000004,0.06200000000000005,1.3333735084827334,0.2697700172885584,8.000103305748324
393.0,873.15,8.0,150.0,0.0775,0.4,0.06200000000000005,1.3333735084022529,0.2697727473011305,8.000103305541371
394.0,873.15,8.0,150.0,0.0775,0.5,0.06200000000000005,1.3333735083734632,0.2697737240220911,8.000103305467356
