Run,Normalized Weigth,Normalized Selectivity,Normalized Conversion,Normalized Yield,Overall Efficiency
97.0,0.0010526315789474586,0.9979916259355143,0.18477378332863467,0.9991393462482934,2.1829573870913896
98.0,0.00108966376089673,0.9979848295775949,0.18477228702823226,0.9991364304266451,2.182983210793369
99.0,0.0011035787482264847,0.9979824120224091,0.18476943382731112,0.9991353932245022,2.182990817822449
107.0,0.0003721424774056731,0.9982346546390557,0.49740140486966034,0.9992435972324379,2.49525179921856
108.0,0.0004160475482912751,0.998181902672465,0.49741723077019523,0.9992209709120495,2.495236151903001
109.0,0.00043135321666260175,0.9981663817242267,0.49742045779816385,0.9992143134223577,2.495232506161411
111.0,0.000463024209551574,0.9981794715567935,0.2939252254997682,0.9992199281274526,2.291787649393566
112.0,0.0006779661016949793,0.9980459646953724,0.2939524069453829,0.9991626582323071,2.2918389959747576
113.0,0.000721872744147742,0.998029659873498,0.29394578104746066,0.9991556634191938,2.2918529770843
114.0,0.0007378517971962319,0.9980242769035578,0.29395982434799334,0.9991533540817378,2.291875307130485
116.0,0.0007131940906776012,0.9980487772610113,0.20860610133324373,0.9991638648173352,2.206531937502268
117.0,0.0009143155694880646,0.9979900957667636,0.2086169976637572,0.9991386897664042,2.206660098766413
118.0,0.0009603512141584051,0.9979805871335722,0.20862294516477936,0.9991346102916691,2.206698493804179
119.0,0.0009773806199386502,0.9979773312638259,0.20862607342547881,0.9991332134205843,2.206713998729828
121.0,0.0008856275303644518,0.9980053327771974,0.16167576979000298,0.9991452267856807,2.1597119568832457
122.0,0.0010913626442158706,0.997964972710788,0.16168891242285396,0.9991279111628144,2.1598731589406723
123.0,0.0011402508551882368,0.9979578245300718,0.16168038511719676,0.9991248443054029,2.1599033048078597
124.0,0.0011583650504717166,0.9979553515701409,0.16168421213395723,0.9991237833001547,2.1599217120547243
130.0,0.0018781862087471064,0.9980268650580718,0.9949140333197235,0.9991544644226401,2.9939735490091826
131.0,0.0019591379792892392,0.9980171788664666,0.9949426968259361,0.999150308944861,2.9940693226165527
132.0,0.001971275696986891,0.9980158044879182,0.994886220327158,0.99914971931832,2.994023019830383
133.0,0.0019746121297603524,0.9980154294474188,0.9948905056045487,0.9991495584208336,2.9940301056025618
134.0,0.0019757267852104007,0.9980153035122871,0.9949266781987143,0.9991495043929269,2.9940672128891386
135.0,0.003968253968254039,0.9979195916423439,0.588039438646626,0.9991084404305124,2.5890357246877365
136.0,0.0040532715691952,0.9979173440246168,0.5880534748306544,0.9991074760645754,2.5891315664890415
137.0,0.004067402672864677,0.9979169836792421,0.5879456516738579,0.9991073214540678,2.5890373594800327
138.0,0.0040697674418605275,0.9979169208183384,0.5880354410699946,0.9991072944828303,2.5891294238130236
139.0,0.004072134962187381,0.9979168621948264,0.5879644472960985,0.9991072693297042,2.5890607137828163
140.0,0.005559968228752871,0.9978942396508897,0.4172312281906161,0.9990975627264328,2.4197829987966917
141.0,0.005649717514124179,0.9978930281892902,0.41727631432842915,0.9990970429202924,2.419916102952136
142.0,0.00566343042071186,0.9978928473208115,0.4172696727691184,0.9990969653143449,2.419922915824987
143.0,0.00566801619433187,0.9978927877927669,0.4172403707146551,0.9990969397724127,2.4198981144741665
144.0,0.00566801619433187,0.9978927861774475,0.41730000680975415,0.9990969390793103,2.4199577482608436
145.0,0.006743737957610665,0.9978836059078728,0.32352112878217565,0.9990930000437203,2.3272414726913797
146.0,0.006842619745845426,0.9978826962194909,0.32346829929380994,0.9990926097157923,2.327286224974938
147.0,0.006856023506366181,0.9978825741990294,0.32349615848462854,0.9990925573593669,2.327327313549391
148.0,0.006862745098039089,0.9978825156180109,0.3234274056890994,0.9990925322234913,2.327265198628641
149.0,0.006862745098039089,0.9978825143979175,0.3234694181102043,0.9990925316999717,2.3273072093061327
155.0,0.002491990032040002,0.997941477299855,0.7959453094577585,0.9991178305909089,2.7954966073805627
156.0,0.002615844544095794,0.9979351547374158,0.7960613371850536,0.9991151178852746,2.79572745435184
157.0,0.0026345502446369373,0.9979342607582894,0.7959744892771737,0.9991147343205107,2.795658034600611
158.0,0.002639517345399827,0.9979340246630953,0.7959980151940178,0.9991146330230024,2.7956861902255152
159.0,0.0026415094339623927,0.9979339305060835,0.795997119265111,0.9991145926245864,2.7956871518297435
160.0,0.004761904761904758,0.9978876130199722,0.47035870060936,0.9990947194054299,2.472102937796667
161.0,0.004891684136967138,0.9978858025656667,0.4704443297432793,0.999093942581172,2.4723157590270852
162.0,0.004912280701754365,0.9978855271718553,0.4703785850642653,0.9990938244158838,2.472270217353759
163.0,0.004915730337078631,0.9978854784193809,0.4704921917630917,0.9990938034972884,2.4723872040168398
