,Run,Temperature,Pressure,Feed Rate,Phenol Fraction,Cross Sectional Area,Weigth,Selectivity,Conversion,Yield
760,1005.0,923.15,12.25,150.0,0.0325,0.05,0.0191999999999999,1.3333471579904168,0.6420720015820667,8.000035548907588
378,505.0,873.15,15.0,150.0,0.0325,0.05,0.0139999999999999,1.3333433064767175,0.6420309152665735,8.000025645116228
1641,2134.0,1023.15,9.5,150.0,0.0325,0.2,0.0246999999999999,1.3333477116638826,0.6418799497038749,8.000036972622155
1640,2133.0,1023.15,9.5,150.0,0.0325,0.1625,0.0246999999999999,1.333347711686848,0.641873205097387,8.000036972681208
1639,2132.0,1023.15,9.5,150.0,0.0325,0.125,0.0246999999999999,1.3333477117460055,0.64185582675183,8.000036972833328
1841,2384.0,1023.15,15.0,150.0,0.0325,0.2,0.0038999999999999,1.3333356186940457,0.6418417664003908,8.00000587663608
1840,2383.0,1023.15,15.0,150.0,0.0325,0.1625,0.0038999999999999,1.3333356186942935,0.6418413423971986,8.000005876636711
1839,2382.0,1023.15,15.0,150.0,0.0325,0.125,0.0038999999999999,1.3333356186949343,0.6418402499592921,8.000005876638356
1838,2381.0,1023.15,15.0,150.0,0.0325,0.0875,0.0038999999999999,1.3333356186971803,0.6418364173227266,8.000005876644137
1837,2380.0,1023.15,15.0,150.0,0.0325,0.05,0.0038999999999999,1.3333356187120522,0.6418110405757644,8.000005876682378
1638,2131.0,1023.15,9.5,150.0,0.0325,0.0875,0.0246999999999999,1.3333477119536146,0.6417948524993193,8.000036973367177
282,384.0,873.15,12.25,150.0,0.0325,0.2,0.0316999999999998,1.3333557673298468,0.6417831115811569,8.00005768686498
281,383.0,873.15,12.25,150.0,0.0325,0.1625,0.0316999999999998,1.3333557673557384,0.6417787265311219,8.000057686931543
280,382.0,873.15,12.25,150.0,0.0325,0.125,0.0316999999999998,1.3333557674224636,0.641767428626961,8.000057687103125
279,381.0,873.15,12.25,150.0,0.0325,0.0875,0.0316999999999998,1.3333557676566503,0.6417277910131806,8.000057687705302
1150,1509.0,973.15,9.5,150.0,0.0325,0.2,0.0350999999999999,1.3333565850449334,0.6417015608341468,8.00005978951975
1149,1508.0,973.15,9.5,150.0,0.0325,0.1625,0.0350999999999999,1.3333565850948854,0.6416924671275124,8.000059789648184
1148,1507.0,973.15,9.5,150.0,0.0325,0.125,0.0350999999999999,1.333356585223591,0.6416690360248918,8.000059789979142
1147,1506.0,973.15,9.5,150.0,0.0325,0.0875,0.0350999999999999,1.3333565856753344,0.6415868235243236,8.000059791140739
278,380.0,873.15,12.25,150.0,0.0325,0.05,0.0316999999999998,1.3333557692096547,0.6414652878247303,8.000057691698663
662,882.0,923.15,9.5,150.0,0.0325,0.125,0.0535000000000005,1.3333714881281804,0.6414641688493186,8.0000981107253
1637,2130.0,1023.15,9.5,150.0,0.0325,0.05,0.0246999999999999,1.3333477133315257,0.6413909859866269,8.00003697691033
2036,2634.0,1073.15,6.75,150.0,0.0325,0.2,0.072700000000001,1.3333690897366364,0.6413548903048556,8.000091943628096
661,881.0,923.15,9.5,150.0,0.0325,0.0875,0.0535000000000005,1.3333714892154604,0.6413457198963881,8.000098113521071
2035,2633.0,1073.15,6.75,150.0,0.0325,0.1625,0.072700000000001,1.3333690900763444,0.6413134645894923,8.00009194450161
179,256.0,873.15,9.5,150.0,0.0325,0.0875,0.0886000000000015,1.3333953579747009,0.6412572916312345,8.000159487695454
1540,2008.0,1023.15,6.75,150.0,0.0325,0.1625,0.0980000000000017,1.3333897040437217,0.6412483135630941,8.000144949753476
182,259.0,873.15,9.5,150.0,0.0325,0.2,0.0885000000000015,1.3333952726509744,0.6412358513163691,8.000159268303248
181,258.0,873.15,9.5,150.0,0.0325,0.1625,0.0885000000000015,1.3333952729702208,0.6412154481051916,8.000159269124104
2034,2632.0,1073.15,6.75,150.0,0.0325,0.125,0.072700000000001,1.333369090952246,0.6412067142719559,8.00009194675385
1537,2005.0,1023.15,6.75,150.0,0.0325,0.05,0.0995000000000018,1.3333907692082456,0.6411910804880385,8.000147688614357
2033,2631.0,1073.15,6.75,150.0,0.0325,0.0875,0.072800000000001,1.3333691519299744,0.6411775183887497,8.00009210354893
180,257.0,873.15,9.5,150.0,0.0325,0.125,0.0885000000000015,1.3333952737931756,0.6411628758987954,8.000159271240143
1050,1384.0,973.15,6.75,150.0,0.0325,0.2,0.1396000000000009,1.333424472536516,0.6411623067371913,8.00023434879743
2136,2759.0,1073.15,9.5,150.0,0.0325,0.2,0.0182999999999999,1.3333424161711325,0.6411600213616433,8.000023355777707
2135,2758.0,1073.15,9.5,150.0,0.0325,0.1625,0.0182999999999999,1.3333424161826029,0.6411547709167363,8.000023355807208
1047,1381.0,973.15,6.75,150.0,0.0325,0.0875,0.1401000000000009,1.3334248736371064,0.6411450762436572,8.000235380118209
2134,2757.0,1073.15,9.5,150.0,0.0325,0.125,0.0182999999999999,1.333342416212158,0.6411412424600448,8.000023355883204
1538,2006.0,1023.15,6.75,150.0,0.0325,0.0875,0.0982000000000017,1.3333898471017518,0.6411407984192934,8.000145317599175
178,255.0,873.15,9.5,150.0,0.0325,0.05,0.0890000000000015,1.333395702704205,0.6411400951258391,8.0001603740955
1046,1380.0,973.15,6.75,150.0,0.0325,0.05,0.1426000000000006,1.3334268828700224,0.6411335938757333,8.000240546307348
1539,2007.0,1023.15,6.75,150.0,0.0325,0.125,0.0980000000000017,1.3333897057821755,0.6411113266673841,8.000144954223527
2133,2756.0,1073.15,9.5,150.0,0.0325,0.0875,0.0182999999999999,1.3333424163158605,0.6410937765251472,8.000023356149875
1049,1383.0,973.15,6.75,150.0,0.0325,0.1625,0.1396000000000009,1.3334244739942678,0.6410904499336146,8.000234352545688
1048,1382.0,973.15,6.75,150.0,0.0325,0.125,0.1397000000000009,1.3334245542501983,0.6410839749852244,8.000234558901921
2032,2630.0,1073.15,6.75,150.0,0.0325,0.05,0.073500000000001,1.3333695786071913,0.6410691492050495,8.000093200685024
563,758.0,923.15,6.75,150.0,0.0325,0.1625,0.2134999999999928,1.333482986082155,0.6410539300484521,8.000384796674462
664,884.0,923.15,9.5,150.0,0.0325,0.2,0.0534000000000005,1.3333714043550493,0.6410455116022634,8.000097895315704
1541,2009.0,1023.15,6.75,150.0,0.0325,0.2,0.0979000000000017,1.3333896357985375,0.6410452368017289,8.000144774274302
1146,1505.0,973.15,9.5,150.0,0.0325,0.05,0.0350999999999999,1.3333565886762688,0.6410422171146353,8.000059798857281
564,759.0,923.15,6.75,150.0,0.0325,0.2,0.2133999999999928,1.3334829008377242,0.6410414875933256,8.000384577502587
663,883.0,923.15,9.5,150.0,0.0325,0.1625,0.0534000000000005,1.3333714044749685,0.6410324332349714,8.000097895624057
660,880.0,923.15,9.5,150.0,0.0325,0.05,0.0536000000000005,1.3333715798388146,0.6410237832982452,8.00009834654492
560,755.0,923.15,6.75,150.0,0.0325,0.05,0.220199999999992,1.3334887481728113,0.641020293173106,8.000399611541983
562,757.0,923.15,6.75,150.0,0.0325,0.125,0.2136999999999927,1.3334831586346492,0.6410183212632277,8.000385240323933
79,131.0,873.15,6.75,150.0,0.0325,0.0875,0.3572999999999769,1.3335789185391511,0.6410136493650026,8.000631438355533
1941,2509.0,1073.15,4.0,150.0,0.0325,0.2,0.6057999999999496,1.33362458596442,0.6410058132668308,8.000748841864741
82,134.0,873.15,6.75,150.0,0.0325,0.2,0.3542999999999773,1.3335764126375982,0.6410033290131613,8.000624995957988
1940,2508.0,1073.15,4.0,150.0,0.0325,0.1625,0.6081999999999493,1.3336260014828203,0.6410018867277777,8.000752480858475
